name,grades,gender,address,latitude,longitude
Balmoral Hall School,K-12,All-Girls,"630 Westminister Avenue Winnipeg,MB R3C 3S1",49.88113920730692, -97.15548320965064
CASA Montessori & Orff,06-Jan,Co-Ed,"1055 Wilkes Ave Winnipeg,MB R3P 2L7",49.848191623752825, -97.19237471335771
Faith Academy (Elementary and High School),12-Sep,Co-Ed,"	437 Matheson Avenue Winnipeg,MB R2W 0E1",49.93271402392744, -97.13145143530008
Faith Academy (Middle School),08-May,Co-Ed,"600 Jefferson Avenue Winnipeg,MB R2V 0P2",49.94018315856509, -97.13910275857714
Gray Academy of Jewish Education,JK-12,Co-Ed,"A100 - 123 Doncaster Street Winnipeg,MB R3N 1X7",49.87209009991402, -97.20861887288206
Immanuel Christian School,K-12,Co-Ed,"215 Rougeau Avenue Winnipeg,MB R2C 3Z9",49.8930667080492, -97.04654446836453
Linden Christian School,K-12,Co-Ed,"877 Wilkes Avenue Winnipeg,MB R3P 1B8",49.84842066407986, -97.18169249848367
Mennonite Brethren Collegiate Institute,12-Jun,Co-Ed,"173 Talbot Avenue Winnipeg,MB R2L 0P6",49.909466102377166, -97.11539915851966
Nova Montessori Preschool,Age 2-6,Co-Ed,"C-3311 Pembina Hwy Winnipeg,MB R3B 1V7",49.77228170467697, -97.15673255245056
Springs Christian Academy,PS-12,Co-Ed,"261 Youville Street Winnipeg,MB R2H 2S7",49.88075856496829, -97.10798520589952
St. Boniface Diocesan High School,12-Sep,Co-Ed,"282 Dubuc Street Winnipeg,MB R2H 1E4",49.877206803989075, -97.1140579887001
St. John's-Ravenscourt School,K-12,Co-Ed,"400 South Drive Winnipeg,MB R3T 3K5",49.84383343249954, -97.12129279055554
St. Mary's Academy,12-Jul,All-Girls,"550 Wellington Crescent Winnipeg,MB R3M 0B9",49.87568000608907, -97.16102282546474
St. Maurice School,K-12,Co-Ed,"1639 Pembina Highway Winnipeg,MB R3T 2G6",49.82993813375498, -97.15177137150225
St. Paul's High School,12-Sep,All-Boys,"2200 Grant Avenue Winnipeg,MB R3P 0P8",49.855808774140314, -97.2261730059004
The King's School,K-12,Co-Ed,"851 Panet Road Winnipeg,MB R2K 4C9",49.90882278518157, -97.06334347706218
The Laureate Academy,12-Jan,Co-Ed,"100 Villa Maria Place Winnipeg,MB R3V 1A9",49.77040734872341, -97.14275246357616
Westgate Mennonite Collegiate,12-Jul,Co-Ed,"86 West Gate  Winnipeg,MB R3C 2E1",49.876776890724166, -97.15782612175622
Winnipeg Mennonite Elementary & Middle Schools,K-8 (BC) K-6 (KFC),Co-Ed,"250 Bedson Street Winnipeg,MB R3K 1R7",49.87220881578029, -97.30870999426304
